Character,ModelID,WeaponID,Name,Attack,Accuracy,Strength,Magic,Endurance,Agility,Luck,Price,SellPrice
1,11,1,Shortsword,38,95,0,0,0,0,0,2000,500
1,14,4,Long Wakizashi,65,95,0,1,0,1,0,5000,1250
1,12,2,Saber,60,95,0,0,0,0,0,3200,800
1,11,1,Gladius,45,95,0,0,0,0,0,2600,650
1,14,4,Nikkari Aoe,145,92,0,0,0,0,0,14500,3630
1,14,4,Fudo Masamune,88,95,0,0,0,0,0,7500,1880
1,12,2,Iron Edge,71,95,0,0,1,0,0,6100,1530
1,11,1,Unused,71,95,0,0,0,0,0,400,100
1,12,2,Silver Saber,99,95,0,2,0,0,0,8150,2040
1,17,7,Legendary Cleaver,130,99,0,0,0,0,0,480,120
1,16,6,Steel Pipe,110,85,0,0,0,0,0,400,100
1,12,2,Aroundight,122,95,0,0,0,0,0,10900,2730
1,12,2,Tizona,138,95,0,0,0,0,0,13200,3300
1,15,5,Kaneshige,300,95,0,0,0,0,0,39200,9800
1,11,1,Sin Blade,188,95,0,0,0,0,0,23800,5950
1,14,4,Shishiou,166,95,0,0,0,0,0,18400,4600
1,15,5,Omokage,173,95,0,0,0,0,0,20300,5080
1,15,5,Kogarasumaru,223,95,0,0,0,0,0,28600,7150
1,15,5,Tajikarao Sword,240,95,3,0,0,0,0,29400,7350
1,11,1,Qi Xing Dao,257,95,0,0,0,0,0,34000,8500
1,13,3,Pulsing Blade,200,95,0,0,0,0,0,25300,6330
1,13,3,Gimlet,313,95,0,0,0,0,0,46500,11630
1,11,1,Excalibur,330,95,0,0,0,0,0,52000,13000
1,18,8,Deus Xiphos,360,99,7,0,0,0,0,71200,17800
1,19,9,Lucifer's Blade,425,95,7,7,7,7,7,90000,22500
1,12,2,Unused,50,95,0,0,0,0,0,400,100
1,11,1,Nameless Katana,130,99,1,1,1,1,1,12400,3100
1,14,4,Unused,50,95,0,0,0,0,0,400,100
1,11,1,Holy Knight Sword,30,85,0,0,0,0,0,12000,3000
1,12,2,Unused,50,95,0,0,0,0,0,400,100
1,13,3,Dual Sword,295,95,0,0,0,0,0,41700,10430
1,12,2,Yggdrasword,151,95,0,0,0,0,0,15200,3800
1,15,5,Translucent Blade,282,95,0,0,0,0,0,39800,9950
1,14,4,Envenomed Blade,269,95,0,0,0,0,0,35900,8980
1,15,5,Onimaru Kunitsuna,125,90,0,0,0,0,0,400,100
1,10,0,SEES Sword,108,95,0,0,0,0,0,400,100
1,15,5,Myohou Muramasa,300,95,0,0,0,0,0,40000,10000
1,15,5,Myoho Masamura,100,99,0,0,0,0,0,400,100
1,15,5,Outenta Mitsuyo,177,95,0,0,0,0,0,21300,5330
1,13,3,Fatal Blade,230,88,0,0,0,0,0,29000,7250
1,15,5,Amakuni,200,90,0,0,0,0,0,26800,6700
2,24,4,Practice Bow,30,98,0,0,0,0,0,2000,500
